Job Title,Job Description,Rating,Company Name,Location,Size,Type of ownership,Industry,Sector,Revenue
Security Risk Analyst,"Job Title: Security Risk Analyst
Salary: Up to £65k
Location: Exeter (Home based)

Acorn is searching for an experienced Security Risk Analyst to work in a remote capacity for a leading provider of property & land data intelligence. Ideally you will be in a commutable distance from either Exeter, West Malling or Reading in order for you to attend occasional meetings in the office.

The role is responsible for performing risk assessments and analysing risks in various areas of the business, with a view to determine the effectiveness of security, operational, process, people and other controls; it is expected to work collaboratively with other teams to recommend risk treatment measures that are adequate and applicable to the risk itself and to the business area affected.

The company operate a highly complex & diverse Azure hosted infrastructure environment. Therefore it is essential that you have experience in a similar role within an enterprise level client.

Responsibilities Include:
Perform RA (Risk Assessments) and present the results, recommend actions to address risk and drive towards best practice.
Own and maintain the risk management framework and artefacts for the company (assets lists and categorisation, risk registers, RA templates, risk acceptance forms, etc).
Introduce risk management principles in our existing policies, procedures and standards; ensure they are relevant to the company and its operations, that they are kept up to date and continuously improved.
Use primary and secondary data to produce analysis and reports, regular and ad-hoc.
Essential experience:
Experience in compliance, auditing, data protection, information security, risk management or related field.
Expertise in taking policy statements and translating them into actual, implementable, risk and security controls that can be monitored, audited and constantly improved. Ability to judge their effectiveness and recommend improvements.
Good understanding of common information risk and security management standards, frameworks, and laws / regulations: e.g. CIS Top20, ISO/IEC 27001, NIST 800-53, BSIMM, GDPR, FAIR, etc.
Provide insight into the key areas of risk for the business and provide suggestions on mitigation / treatment.
Benefits:
Up to £65k.
Flexi working pattern.
Up to 30 days holiday + Bank Holidays
If you feel your experience can fulfil this role and you are interested in working for a fantastic company please apply online or for more information contact Ryan Harris at Acorn IT.

Acorn Recruitment acts as an employment agency for permanent recruitment.",3.6,"Acorn Recruitment Limited
3.6","Exeter, England",201 to 500 Employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
"QA Test Analyst | Bristol | Up to £38,000 + Great Benefits (JB - QAT)","QA Test Analyst | Bristol | Up to £38,000 + Great Benefits
(Test, QA, Manual, Automation, Postman, API, RESTful, SOAPUI, Git, Azure)
Post start-up company in Central Bristol
Remote working during COVID19 with the team staggering the return the office for at least 1 day a week
Create a market leading workplace educational platform
Exciting QA Test Analyst opportunity with a fantastic post start-up company based in Central Bristol to work in their core tech office.

The company were created 3 years ago, with heavy investment from a longstanding Bristol organisation. They are using the latest technology to build a world class SaaS product to managed workplace education and training initiatives. This is a booming market heavily subsided by the government and endless possibilities.

They believe in a modern working environment, with continuous personal development, a healthy work-life balance, employee trust and a fun approach to work.

This role will enable you to develop your skills and capabilities in the following areas:
Manual and automated testing
API technologies such as RESTful, SOAPUI and tools such as Postman/Fiddler
Working with code repositories (e.g. Git, SVN), bug tracking tools (e.g. Azure DevOps) and Wikis (e.g. SharePoint)
We are keen to hear from people with the above OR related technical skills.

You'll be based in their amazing state of the art office in Central Bristol, with an onsite Gym, roof terrace and large cycle storage. They provide really high-quality laptops (DELL XPS 9560 with a 7th Generation Intel Core Processor and 4k QHD Touchscreen), motorised height-adjustable desks, and all the software needed (they are great at providing excellent software, unlike some companies where you have to fight to get the tools you need!)

If you are interested in discussing more please apply now.

QA Test Analyst | Bristol | Up to £38,000 + Great Benefits
(Test, QA, Manual, Automation, Postman, API, RESTful, SOAPUI, Git, Azure)

People Source Consulting Ltd is acting as an Employment Agency in relation to this vacancy.

People Source specialise in technology recruitment across niche markets including Information Technology, Digital TV, Digital Marketing, Project and Programme Management, SAP, Digital and Consumer Electronics, Air Traffic Management, Management Consultancy, Business Intelligence, Manufacturing, Telecoms, Public Sector, Healthcare, Finance and Oil & Gas.

Skills
Test
Tester
Engineer
QA
Manual
Automation
Postman
API
RESTful
SOAPUI
Git
Azure
Benefits
Fantastic Benefits Package",4.8,"People Source Consulting
4.8","Bristol, England",51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
"QA Test Analyst | Bristol | Up to £35,000 + Great Benefits (JB - QAT)","QA Test Analyst | Bristol | Up to £35,000 + Great Benefits
(Test, QA, Manual, Automation, Postman, API, RESTful, SOAPUI, Git, Azure)
Post start-up company in Central Bristol
Remote working during COVID19 with the team staggering the return the office for at least 1 day a week
Create a market leading workplace educational platform
Exciting QA Test Analyst opportunity with a fantastic post start-up company based in Central Bristol to work in their core tech office.

The company were created 3 years ago, with heavy investment from a longstanding Bristol organisation. They are using the latest technology to build a world class SaaS product to managed workplace education and training initiatives. This is a booming market heavily subsided by the government and endless possibilities.

They believe in a modern working environment, with continuous personal development, a healthy work-life balance, employee trust and a fun approach to work.

This role will enable you to develop your skills and capabilities in the following areas:
Manual and automated testing
API technologies such as RESTful, SOAPUI and tools such as Postman/Fiddler
Working with code repositories (e.g. Git, SVN), bug tracking tools (e.g. Azure DevOps) and Wikis (e.g. SharePoint)
We are keen to hear from people with the above OR related technical skills.

You'll be based in their amazing state of the art office in Central Bristol, with an onsite Gym, roof terrace and large cycle storage. They provide really high-quality laptops (DELL XPS 9560 with a 7th Generation Intel Core Processor and 4k QHD Touchscreen), motorised height-adjustable desks, and all the software needed (they are great at providing excellent software, unlike some companies where you have to fight to get the tools you need!)

If you are interested in discussing more please apply now.

QA Test Analyst | Bristol | Up to £35,000 + Great Benefits
(Test, QA, Manual, Automation, Postman, API, RESTful, SOAPUI, Git, Azure)

People Source Consulting Ltd is acting as an Employment Agency in relation to this vacancy.

People Source specialise in technology recruitment across niche markets including Information Technology, Digital TV, Digital Marketing, Project and Programme Management, SAP, Digital and Consumer Electronics, Air Traffic Management, Management Consultancy, Business Intelligence, Manufacturing, Telecoms, Public Sector, Healthcare, Finance and Oil & Gas.

Skills
Test
Tester
Engineer
QA
Manual
Automation
Postman
API
RESTful
SOAPUI
Git
Azure
Benefits
Fantastic Benefits Package",4.8,"People Source Consulting
4.8","Bristol, England",51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
"QA Test Analyst | Bristol | Up to £40,000 + Great Benefits (JB - QAT)","QA Test Analyst | Bristol | Up to £40,000 + Great Benefits
(Test, QA, Manual, Automation, Postman, API, RESTful, SOAPUI, Git, Azure)
Post start-up company in Central Bristol
Remote working during COVID19 with the team staggering the return the office for at least 1 day a week
Create a market leading workplace educational platform
Exciting QA Test Analyst opportunity with a fantastic post start-up company based in Central Bristol to work in their core tech office.

The company were created 3 years ago, with heavy investment from a longstanding Bristol organisation. They are using the latest technology to build a world class SaaS product to managed workplace education and training initiatives. This is a booming market heavily subsided by the government and endless possibilities.

They believe in a modern working environment, with continuous personal development, a healthy work-life balance, employee trust and a fun approach to work.

This role will enable you to develop your skills and capabilities in the following areas:
Manual and automated testing
API technologies such as RESTful, SOAPUI and tools such as Postman/Fiddler
Working with code repositories (e.g. Git, SVN), bug tracking tools (e.g. Azure DevOps) and Wikis (e.g. SharePoint)
We are keen to hear from people with the above OR related technical skills.

You'll be based in their amazing state of the art office in Central Bristol, with an onsite Gym, roof terrace and large cycle storage. They provide really high-quality laptops (DELL XPS 9560 with a 7th Generation Intel Core Processor and 4k QHD Touchscreen), motorised height-adjustable desks, and all the software needed (they are great at providing excellent software, unlike some companies where you have to fight to get the tools you need!)

If you are interested in discussing more please apply now.

QA Test Analyst | Bristol | Up to £40,000 + Great Benefits
(Test, QA, Manual, Automation, Postman, API, RESTful, SOAPUI, Git, Azure)

People Source Consulting Ltd is acting as an Employment Agency in relation to this vacancy.

People Source specialise in technology recruitment across niche markets including Information Technology, Digital TV, Digital Marketing, Project and Programme Management, SAP, Digital and Consumer Electronics, Air Traffic Management, Management Consultancy, Business Intelligence, Manufacturing, Telecoms, Public Sector, Healthcare, Finance and Oil & Gas.

Skills
Test
Tester
Engineer
QA
Manual
Automation
Postman
API
RESTful
SOAPUI
Git
Azure
Benefits
Fantastic Benefits Package",4.8,"People Source Consulting
4.8","Bristol, England",51 to 200 Employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Senior Cost Intelligence Analyst,"Your new role

The role is based in the Cost Intelligence Group within the Commercial and Procurement Directorate. Our team is responsible for leading on managing Project Bank Accounts, development of unit costs, efficiency modelling, performance reporting and informing investment decisions.
You will handle large volumes of cost data from both internal and external sources and will be responsible for converting this into meaningful intelligence. This will include the use of Excel, SQL based databases and other reporting/data analytics tools such as Power BI. You will be an expert in developing the use of supplier led cost analytics and the development of new cost models that will aid our business in future commercial decision making.

You will be seen as the expert for your area(s) and work on your own initiative to manage the end to end process of developing and reporting cost metrics, building and using cost models for commercial decision making, supporting in the development of commercial contract requirements and routinely undertaking ad hoc analysis to tight timescales.

This is a front facing role with an emphasis on interacting with internal and external stakeholders, proposing solutions for commercial decisions and negotiating to overcome obstacles. The role would suit an excellent communicator with proven expertise in handling large complex data sets and an analytical mindset.
What you’ll be doing
• Rolling out data capture requirements with internal teams and extended supply chain.
• Design and management of commercial models and SQL bases databases, resolving user queries, identifying further system improvements and acting as a centre of excellence.
• Frequent travel to other Highways England and supplier premises to ensure the smooth data capture processes are in place.
• Supporting the design and implementation of robust processes and systems for cost capture and cost base reporting.
• Supporting assurance of cost intelligence, ensuring that the quality of reporting withstands scrutiny internally and externally.
• Supporting the team in the resolution of ad-hoc reporting requirements from programmes by converting complex data into simple to understand advice.
• Interpreting complex commercial data and identifying trends and conclusions based on this analysis.

To be successful
• You will have demonstrable experience of database management
• You will have working experience of database querying using SQL
• You will have significant experience of handling large and complex datasets
• You will have advanced analytical capability preferably focusing on cost drivers from multiple sources and converting it into meaningful intelligence
• You will have reporting experience through tools such as PowerBI or similar
• You will have demonstrable Stakeholder management and influencing skills
• You will have excellent written and verbal communication skills

Preferable
• Experience of coding languages such as Python, Power BI(Dax), VBA
• Experience of the Azure Data Platform

A bit about us

There’s never been a better time to join our Commercial and Procurement team.

We’re a growing, vibrant team helping to drive the most ambitious roads investment programme our country has ever seen. You’ll be involved in ensuring that our customers and road workers get home safe and well every day while travelling or working on our road network.

Want to know more?

To request a copy of the role profile please contact charlotte.randzio@highwaysengland.co.uk quoting reference number HIG03669.

Why you should join us

At Highways England we believe in a connected country. We are passionate about creating a culture where colleagues feel connected, included and enjoy greater wellbeing to achieve this. We’re proud that as an organisation we are continually striving to do better and actively encourage and support our colleagues to do the same with their careers.

So if you put safety first, take ownership of your work, show passion for what you do, work effectively in a team, and demonstrate integrity in how you do it – then you’ll be a great fit for our organisation.

And finally

And finally we reserve the right to close before the advertised closing date, so we recommend completing your application as soon as possible.",3.7,"High­ways Eng­land
3.7","Birmingham, England",5001 to 10000 Employees,Government,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable
Cost Analyst / Cost Consultant,"Our client if a successful professional services and technology partner to global, defence, energy, space and intelligence & communications programmes.

As a ‘Cost Analyst’ Consultant you will be providing detailed analysis of data and costs to assist your client’s industry make better decisions. This may be working in customer teams to support procurement decisions with analytical thinking and outcomes, modelling of operational performance and sustainment, or historical analysis to support learning lessons from previous operations.

Responsibilities for Cost Analyst / Consultant will include:

Provide detailed analysis to support key decisions within the project teams.

Identifying and winning work within your client’s industry.

Building new relationships and maintaining the relationships with current customers.

Using and developing problem structuring methods and a variety of tools and techniques, including novel approaches where required.

Working organically in customer teams to deliver rapid turn-around analysis or using one of the company’s offices as a team hub from which to plan and deliver tasks.

Essential Requirements re role of Cost Analyst / Cost Consultant:

Using logical and analytical thinking to solve complex problems for the client.
Strong Microsoft Excel skills to support analysis of data.
Experience in analysing project data (cost/risk/schedule).
Working in a client’s team to influence strategic decision makers whilst delivering practical solutions.
Be a trusted individual who can perform when working as part of a team or when acting independently with support from colleagues.
Be articulate with good presentation and written communication skills.
Be dependable, committed and have a genuine enthusiasm to contribute to the growth of a successful business.
The ideal candidate will be educated to degree level (or have experience that will enable them to meet ICEAA or AcostE membership criteria).

Preferred but not essential:

Knowledge of statistical software packages such as ‘R’.

Knowledge of and application of Visual Basic.

Experience as a cost management consultant in the MOD, business and safety programmes or public sector project environments.

Travel will be required to client sites UK wide

Cost Analyst / Cost Consultant

Salary: £30,000 to £60,000

Location: Fareham, Hampshire / Bristol / Corsham, Wiltshire",-1,Gregory-Martin International,"Corsham, England",1 to 50 Employees,Unknown,Publishing,Media,Unknown / Non-Applicable
Advanced Integrated Performance & Information Analyst,"We are a people business – where every member of staff matters and can make a difference. Patients are at the heart of everything we do. Joining University Hospitals Plymouth NHS Trust means becoming part of a team of dedicated staff, who are committed to leading the way through innovation, clinical excellence and great customer care. The Trust has great opportunities for career development in a highly progressive working environment. We offer all of this in a vibrant, modern city with a historic reputation for adventure.

PLEASE NOTE THAT ALL COMMUNICATION WILL BE ELECTRONIC, PLEASE CHECK YOUR EMAIL ACCOUNT REGULARLY. Call Recruitment on 01752 432100. If you find applying Online difficult due to a disability please contact us.

We recognise that work life balance is important for our colleagues and so we invite requests from applicants around less than full time/flexible working for our advertised roles. Please contact the recruiting manager to discuss this prior to your application submission. We commit to giving this full consideration in each case.

It is sometimes necessary to close vacancies before the closing date. If you have not heard from us within 4 weeks of the closing date, please assume that you have not been shortlisted.

Providing false information is an offence & could result in the application being rejected or summary dismissal/police action if an applicant is successful.

Advanced Integrated Performance & Information Analyst – Band 7

If you are an experienced lead healthcare analyst, with an expert knowledge of Community, Mental Health and Social Care datasets and performance standards, please read on. The forward thinking and innovative UHP Business Intelligence Unit are excited to offer this new opportunity for an exceptional analyst and performance lead to support the reporting, analysis and performance requirements of the developing Integrated Care Partnership (ICP).

The ICP will drive forward transformational change of Service provision across Acute and Community services and this role is pivotal to the delivery and monitoring of these aspirations. You will be experienced in leading highly complex requirements specifications, influencing others, working with clinicians and senior leaders on a daily basis, as well as the skills required to specify, build and deliver complex and well analysed reports. The successful applicant will also provide assurance regarding the delivery of the ICP performance standards, alongside supporting the new performance regime.

For more information please contact Paul Uren at paul.uren@nhs.net
**Preference will be given to internal Trust staff, as well as ‘Priority’ and 'At Risk' status including NHS At Risk staff throughout Devon who are able to display recent relevant experience as dictated by the Person Specification.***
University Hospitals Plymouth NHS Trust is committed to safeguarding & promoting the welfare of children & vulnerable adults. Many of our posts are subject to Disclosure & Barring Service check (DBS). A copy of the DBS Code of Practice is available on request. Should the position that you are applying for be subject to a DBS check, University Hospitals Plymouth NHS Trust will fund the cost* of your DBS check application. Should you decide to voluntarily resign from the Trust within two years from the start date of employment, you will be asked to meet the cost* of the original DBS application, which will be reclaimed from your last month’s salary. *Current cost of an enhanced DBS is £40.00 per application.

All Applicants are required to detail referees on their application form covering the current & previous 3 years of Employment / Unemployment history.

Please note that if you are successful in your application & accept the position you agree that the Staff Health and Wellbeing Department can access your health records from your current/previous employer in order to check the status of your inoculations & screening tests. This is an automated process & the information will only be used for these purposes prior to your taking up the position with us.

Please review our GDPR Privacy Notice prior to applying - available under Further Links

Our organisation is Disability Confident and we are committed to providing a supportive workplace including use of the NHS Health Passport to enable colleagues to be their best at work

To stay safe in your job search we recommend that you visit SAFERjobs (https://www.safer-jobs.com), a non-profit, joint industry and law enforcement organisation working to combat job scams. Visit the SAFERjobs website for information on common scams and to get free, expert advice for a safer job search.",2.8,"University Hospitals Plymouth NHS Trust
2.8","Plymouth, England",5001 to 10000 Employees,Unknown,-1,-1,Less than $1 million (USD)
Commercial Analyst,"Company:
Nominet
WHAT DRIVES US...

Maybe you know us, maybe you don't. Even though you probably use our services every day. So

we'd like to share more about what we do at Nominet, and why we do it, so that you can help us to

build the right team.

We're proudly at the heart of the UK's critical internet infrastructure. Leading the charge in cyber

security, as we explore and pioneer new tech.

We do this to enable connectivity, inclusivity and security for our world - and create a vibrant digital

future.

That's what drives us - and the kind of people we want to work with.

PERKS

Competitive salary depending on experience, plus excellent benefits including a 10% bonus, 28 days holidays, Healthcare, Pension Scheme, Life Assurance, Wellbeing allowance, Flex benefits and onsite fitness classes and studio.

MAIN JOB PURPOSE

This is an exciting new role within a growing high-performing Finance team with a key set of responsibilities in enabling the delivery of the next phase in the Nominet Group’s growth & diversification agenda. As the Group continues to expand, so too does the need for timely and accurate financial reporting and insights – this role will be pivotal in partnering the business and fellow Finance team members to provide and develop critical management information and insights to support and inform the growth of the Registry Solutions business.

You will provide analytics, financial reporting and deep insights into the Registry Solutions business unit’s performance, as well as partnering the Internet Engineering & Operations (“IE&O”) function to drive reporting clarity and understanding of its cost base, drive accurate cost allocations to other business units and support in optimising ROI.

If you have the desire to add value through your reporting & analytical experience, this is an ideal opportunity to grow your career in Finance.

JOB SUMMARY
Production of underlying monthly Registry Solutions business performance reporting
Production and evolution of Registry Solutions and IE&O KPIs /key performance measures BI in partnership with the business, Commercial Business Partner and Head of Finance
Partnering IE&O stakeholders and leadership team to produce cost centre reporting, analytics & modelling
Driving accurate cost allocations from IE&O to other business units its supports across the Group
Provision of management reporting on key Registry Solutions and IE&O projects
Developing capital expenditure forecasting and reporting process for the IE&O business
Production of staff utilisation and productivity reporting & analyses for the IE&O business
Support the Commercial Business Partner in key FP&A activities
Ad-hoc analytics to support the business and Finance to understand the impact/implications of key business decisions e.g. bids, pricing decisions, ROI on investments
Improve existing reporting methodologies and streamline/automate where possible
KEY REQUIREMENTS
Qualified or part-qualified accountant or qualified by experience
Understanding of financial statements (IFRS)
Comfortable with large data sets and proven track record/experience building/developing financial models
Very strong/expert Excel skills
Commercial business performance reporting experience
Business partnering experience
Experience with BI reporting suites e.g. Power BI desirable
Previous experience of Cognos and SAGE200 desirable
Experience working in a technology business desirable
Strong attention to detail; takes pride in the accuracy of their output
Ability to quickly build & maintain effective working relationships
Excellent reporting presentation skills – ability to articulate financial information to multiple stakeholders in varying depths
Ambitions with a desire to challenge the status quo and self-develop
Ability to embrace technology to improve accuracy & efficiency of existing processes
Strong organisational skills and ability to deliver under pressure
APPLICATION PROCESS

ONLINE APPLICATION>>VIDEO INTERVIEW>>FACE TO FACE INTERVIEW>>JOB OFFER

Please note: As part of the job application, you will be asked to complete a brief online application form and profile.

Job Segment:
Business Intelligence, Technology",3.6,"Nominet
3.6","Oxford, England",201 to 500 Employees,Company - Private,Internet,Information Technology,$25 to $50 million (USD)
Senior Analyst Cyber Security,"Reference Number: Senior Analyst Cyber Security
Location: South West England
Salary : £120,000+ senior executive package (negotiable)
Sector: Cyber Security
The senior analyst in cyber security will be reporting to the CTO (UK) this role is business critical, proactive and ideal for an individuals with extensive Defence, Aviation,/Airlines, Aerospace OR Space Technologies experience. See below for additional.

Must be eligible to live and work in the UK.

MUST be DV cleared

Senior Analyst Experience
Recent and extensive operational experience in a lead or senior analyst role delivering Cyber Defence operations in a commercial, preferably Defence, environment. The individual is expected to bring first-hand knowledge of the details underpinning the processes and tools to protect an attractive classified network.
Should be highly competent in use of all MS Office tools and be willing to learn new applications/capabilities as they become available.
ITIL knowledge would be desirable but not essential
Develops new processes and procedures to improve CSOC operational effectiveness and efficiency.
Ensures proper monitoring and response plans are in place to enable the timely and effective response to, and management of, incidents, alarms, notifications, calls and other activities related to the CSOC and new cyber threats.
Develops and maintains CSOC capabilities roadmap and specifies requirements for the supporting technical solutions
Engages with other Information Security teams to share security intelligence on potential threats, current events, security incidents, and advanced defence mechanisms.
Develops and executes departmental plans, policies and procedures and organizational technical strategies and goals.

Job Reference Number (Copy from above – required)",-1,Shackleton Duke,South West England,1 to 50 Employees,Company - Private,-1,-1,Less than $1 million (USD)
Project Management Specialist (Intelligence and Security),"Project Management Specialist (Intelligence and Security)

Company:

BDUKL - United Kingdom

Job ID:

00000204902

Date Posted:

2020-09-08-07:00

Location:

GBR - Bristol, UK, GBR - Gloucester, UK, GBR - London, UK

Job Description Summary:

Develops overall project plan consistent with project objectives as defined by the project owner and key stakeholders in accordance with accepted project management standards in the industry (e.g., PMI, Project Management Body of Knowledge [PMBOK], ANSI, and ISO standards). Works to improve project management processes and business systems that support project decision makers. May lead others and direct all phases of projects or subsystems of major projects from inception through completion. Acts as primary project contact to establish key stakeholder requirements and project objectives. Ensures that all project control systems within the scope of the project are in place and integrates project data for decision makers.

Boeing is the world's largest aerospace company and leading manufacturer of commercial airplanes and defense, space and security systems. We are engineers and technicians. Skilled scientists and thinkers. Bold innovators and dreamers. Join us, and you can build something better for yourself, for our customers and for the world.

Relocation:

No relocation available

Export Control Requirement:

This position must meet Export Control compliance requirements, therefore a “US Person” as defined by 22 C.F.R. § 120.15 is required. “US Person” includes US Citizen, lawful permanent resident, refugee, or asylee.

Safety Sensitive:

This is not a safety sensitive position

Contingent Upon Award Program

The position is contingent upon program award

Job Description Qualifications:

Introduction:

Boeing Defence UK Ltd have an exciting opportunity for a Project Manager within their Cyber, Intelligence and Analytics team. The role will involve working directly with a National Security customer to support and influence the shape of solutions that are of national importance.

As a Boeing Cyber, Intelligence and Analytics Project Manager you will be at the leading edge of our operational work with this customer, collaborating closely with them in multi-function teams to deliver technology, process or service based solutions to problems of national importance to time, cost and quality. This role can be based at either Cheltenham or Central London.

The Team:

As a successful candidate you will join an established Boeing team of likeminded peers who will support your development in your new role, to make sure you are successful and in your career with the Boeing Company, as you grow as one of our valued employees. Though very much part of the Boeing team, you will also find yourself in the privileged position of working directly with our Government customer, at the core of an integrated programme or project team, addressing problems and opportunities of importance to the nation. Whether you are looking for rapid career growth, stability within a supportive team, or intellectual challenge, we will do our utmost to develop you and to ensure that you have the opportunity to enjoy a full career with the Boeing Company.

At Boeing we’re committed to rewarding excellence and fostering an inclusive environment where team members are seen, heard, valued, respected and fully engaged. This is particularly relevant in the Government Services Team which encapsulates all of the advantages of being a small agile Business Unit but with the security and opportunities of working for one of the world’s largest corporations.

The Role:

As a Boeing Project Manager you will be working very closely with our customer to manage the delivery of predominantly Agile projects, delivered in the Cloud, to solve complex technology, process or people problems. This will involve working directly with the operational practitioner, supported by a Boeing Engineering & Business Analysis team, to develop and define the project management plan and to play an integral role in the delivery of solutions to time, cost and quality. Though you will be expected to arrive with a basic understanding of Agile methodologies it is stressed that the Company will support you in your immediate job and will invest in developing your Agile skills.

To achieve this the ideal candidate will be expected to:
Have some experience of Agile methodologies and work confidently in the technology space beside Business Analysts as they define the required user experiences (UX), the writing of user stories and the sketching of wireframes
Rapidly develop Agile project management skills such that projects can be described in terms of User Stories, Epics, Sprints and Minimal Viable Products.
Rapidly develop skills and proficiency as a Scrum Manager in order to deliver to time, cost and quality
Play an active role in guiding the customer, as part of a Boeing team, in the application of business process improvement and operational design
Have the confidence to undertake stakeholder engagement alone and develop relationships with the Business Client as part of a wider Boeing team
Manage changing user needs within a project life cycle
Required Qualifications:
Experience of working on technical projects in cyber security / IT
Demonstrable experience of managing a schedule
Problem solving skills
Excellent interpersonal skills and a desire to lead and manage
Preferred Qualifications:
We welcome applications from candidates who have taken a graduate, further education or apprenticeship route
A recognized Project Management qualification
Knowledge of Agile Methodologies, Scrum Management, Epic and Sprint, MPV Management
Experience in Cyber, Security & IT projects
Work Authorisation: This requisition is for a locally hired position in the UK. Candidates must have current legal authorisation to work immediately in the United Kingdom. Boeing will not attempt to obtain Immigration and labour sponsorship for any applicants. Benefits and pay are determined at the local level and are not part of Boeing U.S. based payroll.

Security Clearance: This position requires the ability to obtain a UK security Clearance for which the UK Government requires UK Citizenship. PLEASE NOTE: The successful candidate will hold, or have the ability to obtain, Security Clearance (DV)

Visa Status and Relocation: This requisition is for a locally hired position in the UK. Relocation benefits are not available. Successful candidates must have existing / ability to obtain legal authorisation to work in the UK for continued employment.

Experience Level:

Individual Contributor - 3

Job Type:

Regular

Job Code:

WAMWI3 (W03)",3.7,"Boeing
3.7","Bristol, England",10000+ Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Basedata Analyst,"Business Unit:
Cubic Transportation Systems
Company Details:
At Cubic, we love to solve problems and give travellers choices in how to pay their fares quickly and safely through our revenue management and Intelligent Transport Systems (ITS) systems and tools. We enable transportation authorities and agencies to manage demand across the entire transportation network - all in real time. We continually strive for innovation and improvement in the overall user experience through faster fare payment and efficient information management. Our track record in revenue management, real-time passenger information and intelligent traffic management systems is built on our commitment to delivering innovative, open and customer-focused solutions. Delivering end-to-end systems and services based on innovation, scalability, specialist integration and the flexibility to grow with changing requirements and emerging technology for the complete mobility network is what Cubic does best.

We deliver to the major cities around the world and in the United Kingdom we are best known as the technology and service provider for London’s Oyster Card System.

As an employer, we are committed to investing in our people via learning and development schemes, social events and achieving a good work/life balance.
Job Details:


Job Summary:

Responsible for analyzing, preparing, developing, testing and delivering data into test and production systems.

Essential Job Duties and Responsibilities:
Provide Basedata support to all stakeholders
Provide detailed technical analysis for variation request responses
Provide development plans and technical solutions in support of projects and service changes
Make configuration changes to Basedata in accordance with service and project requirements
Configure test environments in accordance with Cubic’s configuration management procedures.
Produce test plans and scenarios to prove system and device functionality
Execute approved test scenarios accurately and in a timely manner; recording the outcome of each distinct test step, providing metrics and supporting documentation in accordance with Cubic’s testing procedures.
Assist customer/user witnessed testing processes in a professional manner.
Produce artefacts associated with service and project obligations as undertaken by the team. This will include but is not limited to documentation, test results, physical media, maps and reports
Deploy Basedata in accordance with Cubic’s installation procedures in locations as required.
Provide accurate records of testing and acceptance associated with client handover.
Produce documentation to support the entire life cycle of Basedata verification and delivery.
Follow Cubic change control procedures when making changes to any production affecting element or system, configuration item, document or contractual obligation.
Attend off site customer and project meetings, independent test witnessing and installations as required
Recommend, system and process improvements
Work with other teams to develop and implement new assets required for clients to deliver the service required by the relevant contracts. Ensure that new assets are integrated into existing service or new service contracts whilst preserving the quality and performance of the existing assets.
Investigate problems as they occur and assisting with remedial or preventative actions.
Respond to requests for support from stakeholders and team members, providing information, data and/or recommendations for support in accordance with Cubic’s policies and procedures. Incidents will be tracked in Cubic’s incident management system.
Implement and document agreed changes in accordance with Cubic’s change control procedures.
Build relationships with stakeholders.
Maintain and expand industry knowledge of our clients’ systems.
Provide a clear account of activities and progress to their line management.
Review and provide feedback on the work of other team members and be open to review of your own work by peers.
Comply with Cubic’s values and adherence to all company policy and procedures. In particular comply with the code of conduct, quality, security and occupational health, safety and environmental policies and procedures.
In addition to the duties and responsibilities listed, the job holder is required to perform other duties assigned by their manager from time-to-time, as may be reasonably required of them.
Minimum Job Requirements:

Skills knowledge and experience:

Essential:
Experienced with commercial computer systems
Good written communication skills
Computer literate, competent in MS Word and Excel
Desirable:
Software development background
Testing experience
Experience in SQL and databases
Education and qualifications

Essential:
A Level education or equivalent
Desirable:
Degree in Engineering or equivalent education/experience
Personal Qualities
Excellent oral and written communication skills
Problem solver
Confident
Self-starter
Able to plan and manage multiple tasks
Flexible and adaptable – willing to take on a variety of tasks
Ability to work well with other members of the team
The description provided above is not intended to be an exhaustive list of all job duties, responsibilities and requirements. Duties, responsibilities and requirements may change over time and according to business need.

Worker Type:
Employee",3.3,"Cubic
3.3","Redhill, South West England, England",5001 to 10000 Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
